item_id;title;brand;rating;rating_num;price;price_shipping;price_total;image_url;url;referer;others
N82E16814932611;"GIGABYTE WINDFORCE GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4070WF3OC-12GD";GIGABYTE;4.7;15;599.99;0;599.99;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-611-V01.jpg;https://www.newegg.com/gigabyte-geforce-rtx-4070-gv-n4070wf3oc-12gd/p/N82E16814932611;https://www.newegg.com/GPUs-Video-Graphics-Cards/SubCategory/ID-48/Page-1?Tid=7709;"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort', 'HDMI': '1 x HDMI', 'DirectX': 'DirectX 12', 'Model': 'GV-N4070WF3OC-12GD'}"
N82E16814932550;"GIGABYTE Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4090GAMING OC-24GD";GIGABYTE;4.7;170;1699.99;0;1699.99;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-550-23.jpg;https://www.newegg.com/gigabyte-geforce-rtx-4090-gv-n4090gaming-oc-24gd/p/N82E16814932550;https://www.newegg.com/GPUs-Video-Graphics-Cards/SubCategory/ID-48/Page-1?Tid=7709;"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'GV-N4090GAMING OC-24GD'}"
N82E16814932561;"GIGABYTE Gaming GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080GAMING OC-16GD";GIGABYTE;4.3;106;1219.99;0;1219.99;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-561-23.jpg;https://www.newegg.com/gigabyte-geforce-rtx-4080-gv-n4080gaming-oc-16gd/p/N82E16814932561;https://www.newegg.com/GPUs-Video-Graphics-Cards/SubCategory/ID-48/Page-1?Tid=7709;"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12', 'Model': 'GV-N4080GAMING OC-16GD'}"
N82E16814932562;"GIGABYTE EAGLE OC GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080EAGLE OC-16GD";GIGABYTE;4;39;1189.99;0;1189.99;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-562-21.jpg;https://www.newegg.com/gigabyte-geforce-rtx-4080-gv-n4080eagle-oc-16gd/p/N82E16814932562;https://www.newegg.com/GPUs-Video-Graphics-Cards/SubCategory/ID-48/Page-1?Tid=7709;"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12', 'Model': 'GV-N4080EAGLE OC-16GD'}"
N82E16814932580;"GIGABYTE GeForce RTX 4070 Ti GAMING OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407TGAMING OC-12GD Video Card";GIGABYTE;4.9;53;849.99;0;849.99;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-580-15.jpg;https://www.newegg.com/gigabyte-geforce-rtx-4070-ti-gv-n407tgaming-oc-12gd/p/N82E16814932580;https://www.newegg.com/GPUs-Video-Graphics-Cards/SubCategory/ID-48/Page-1?Tid=7709;"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'GV-N407TGAMING OC-12GD'}"
N82E16814932481;"GIGABYTE Radeon RX 6600 EAGLE 8G Graphics Card, WINDFORCE 3X Cooling System, 8GB 128-bit GDDR6, GV-R66EAGLE-8GD Video Card";GIGABYTE;4.6;97;199.99;0;199.99;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-481-11.jpg;https://www.newegg.com/gigabyte-radeon-rx-6600-gv-r66eagle-8gd/p/N82E16814932481;https://www.newegg.com/GPUs-Video-Graphics-Cards/SubCategory/ID-48/Page-1?Tid=7709;"{'MaxResolution': '7680 x 4320', 'DisplayPort': '2 x DisplayPort 1.4a', 'HDMI': '2 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'GV-R66EAGLE-8GD'}"
N82E16814932608;"GIGABYTE AERO GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4070AERO OC-12GD";GIGABYTE;5;2;679.99;0;679.99;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-608-V01.jpg;https://www.newegg.com/gigabyte-geforce-rtx-4070-gv-n4070aero-oc-12gd/p/N82E16814932608;https://www.newegg.com/GPUs-Video-Graphics-Cards/SubCategory/ID-48/Page-1?Tid=7709;"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort', 'HDMI': '1 x HDMI', 'DirectX': 'DirectX 12', 'Model': 'GV-N4070AERO OC-12GD'}"
N82E16814932434;"GIGABYTE Eagle OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060EAGLE OC-12GD (rev. 2.0) (LHR)";GIGABYTE;4.5;93;349.99;0;349.99;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-434-V10.jpg;https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060eagle-oc-12gd/p/N82E16814932434;https://www.newegg.com/GPUs-Video-Graphics-Cards/SubCategory/ID-48/Page-1?Tid=7709;"{'MaxResolution': '7680 x 4320', 'DisplayPort': '2 x DisplayPort 1.4a', 'HDMI': '2 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'GV-N3060EAGLE OC-12GD (rev. 2.0)'}"
N82E16814137789;"MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 3X 12G OC";MSI;4;8;599.99;0;599.99;https://c1.neweggimages.com/ProductImageCompressAll300/14-137-789-01.jpg;https://www.newegg.com/msi-geforce-rtx-4070-rtx-4070-ventus-3x-12g-oc/p/N82E16814137789;https://www.newegg.com/GPUs-Video-Graphics-Cards/SubCategory/ID-48/Page-1?Tid=7709;"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '1 x HDMI 2.1a', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'RTX 4070 VENTUS 3X 12G OC'}"
N82E16814137790;"MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 3X 12G";MSI;4.7;3;599.99;0;599.99;https://c1.neweggimages.com/ProductImageCompressAll300/14-137-790-01.jpg;https://www.newegg.com/msi-geforce-rtx-4070-rtx-4070-ventus-3x-12g/p/N82E16814137790;https://www.newegg.com/GPUs-Video-Graphics-Cards/SubCategory/ID-48/Page-1?Tid=7709;"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '1 x HDMI 2.1a', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'RTX 4070 VENTUS 3X 12G'}"
